"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"479","山","mountain","山[やま]","Noun","<b> 山[やま]</b>の 空気[くうき]はきれいだ。","<b>山</b>の空気はきれいだ。","The mountain air is clean."
"480","川","river, stream","川[かわ]","Noun","小[ちい]さな<b> 川[かわ]</b>を 渡[わた]りました。","小さな<b>川</b>を渡りました。","I crossed a stream."
"481","いずれ","eventually, sometime","いずれ","Adverb","<b>いずれ</b>またお 会[あ]いしましょう。","<b>いずれ</b>またお会いしましょう。","Let's meet again sometime."
"482","空く","become available or vacant","空[あ]く","Verb","後[うし]ろの 席[せき]が<b> 空[あ]いています</b>。","後ろの席が<b>空いています</b>。","The rear seat is empty."
"483","空手","karate, empty hand","空手[からて]","Noun","彼[かれ]は<b> 空手[からて]</b>を 習[なら]っています。","彼は<b>空手</b>を習っています。","He's learning karate."
"484","空","sky, weather","空[そら]","Noun","<b> 空[そら]</b>が 真[ま]っ 青[さお]です。","<b>空</b>が真っ青です。","The sky is bright blue."
"485","海外","overseas, abroad","海外[かいがい]","Noun","彼[かれ]は<b> 海外[かいがい]</b>での 生活[せいかつ]が 長[なが]いです。","彼は<b>海外</b>での生活が長いです。","He's lived abroad for a long time."
"486","あまり","(not) really, (not) very","あまり","Adverb","このビールは<b>あまり</b> 美味[おい]しくありません。","このビールは<b>あまり</b>美味しくありません。","This beer isn't very good."
"487","海","sea, ocean","海[うみ]","Noun","<b> 海[うみ]</b>は 広[ひろ]くて 大[おお]きい。","<b>海</b>は広くて大きい。","The sea is vast and wide."
"488","毎日","every day","毎日[まいにち]","Noun","私[わたし]たちは<b> 毎日[まいにち]</b> 散歩[さんぽ]をします。","私たちは<b>毎日</b>散歩をします。","We go for a walk every day."
"489","毎年","every year (less formal)","毎年[まいとし]","Noun","私[わたし]は<b> 毎年[まいとし]</b>、 海外旅行[かいがい りょこう]に 行[い]きます。","私は<b>毎年</b>、海外旅行に行きます。","I travel abroad every year."
"490","毎年","every year (more formal)","毎年[まいねん]","Noun","<b> 毎年[まいねん]</b> 給料[きゅうりょう]が 上[あ]がる。","<b>毎年</b>給料が上がる。","My salary goes up every year."
"491","なお","still, in addition","なお","Adverb","<b>なお</b>、 雨[あめ]の 場合[ばあい]は 中止[ちゅうし]です。","<b>なお</b>、雨の場合は中止です。","Moreover, it will be canceled in the event of rain."
"492","毎週","every week","毎週[まいしゅう]","Noun","私[わたし]は<b> 毎週[まいしゅう]</b> 母[はは]に 電話[でんわ]をします。","私は<b>毎週</b>母に電話をします。","I call my mother every week."
"493","毎月","every month","毎月[まいつき]","Noun","私[わたし]は<b> 毎月[まいつき]</b> 貯金[ちょきん]をしています。","私は<b>毎月</b>貯金をしています。","I save money every month."
"494","石","stone, small rock","石[いし]","Noun","私[わたし]は<b> 石[いし]</b>につまづいた。","私は<b>石</b>につまづいた。","I tripped on a stone."
"495","田んぼ","rice field","田[た]んぼ","Noun","この 辺[へん]は<b> 田[た]んぼ</b>がたくさんあります。","この辺は<b>田んぼ</b>がたくさんあります。","There are a lot of rice fields around here."
"496","ほぼ","roughly, nearly","ほぼ","Adverb","仕事[しごと]が<b>ほぼ</b> 終[お]わりました。","仕事が<b>ほぼ</b>終わりました。","My work is almost finished."
"497","花","flower","花[はな]","Noun","きれいな<b> 花[はな]</b>が 咲[さ]きました。","きれいな<b>花</b>が咲きました。","Beautiful flowers have bloomed."
"498","林","woods, grove","林[はやし]","Noun","私[わたし]たちは<b> 林[はやし]</b>の 中[なか]に 入[はい]っていった。","私たちは<b>林</b>の中に入っていった。","We entered the woods."
"499","森","thick woods, forest","森[もり]","Noun","私[わたし]は<b> 森[もり]</b>を 歩[ある]くのが 好[す]きです。","私は<b>森</b>を歩くのが好きです。","I like to walk in the forest."
"500","子","child, kid","子[こ]","Noun","その<b> 子[こ]</b>は 日本語[にほんご]が 分[わ]からない。","その<b>子</b>は日本語が分からない。","That kid doesn't understand Japanese."
"501","サービス","service, on the house","サービス","Verbal Noun","この 店[みせ]は<b>サービス</b>がいい。","この店は<b>サービス</b>がいい。","The service in this store is good."
"502","女の子","girl, baby girl","女[おんな]の 子[こ]","Noun","あの<b> 女[おんな]の 子[こ]</b>を 知[し]っていますか。","あの<b>女の子</b>を知っていますか。","Do you know that girl?"
"503","男の子","boy, baby boy","男[おとこ]の 子[こ]","Noun","<b> 男[おとこ]の 子[こ]</b>たちがサッカーをしている。","<b>男の子</b>たちがサッカーをしている。","The boys are playing soccer."
"504","私たち","we","私[わたし]たち","Noun","<b> 私[わたし]たち</b>は 来月結婚[らいげつ けっこん]します。","<b>私たち</b>は来月結婚します。","We will get married next month."
"505","達する","attain, reach","達[たっ]する","Verb","気温[きおん]は 35度[さんじゅうごど]に<b> 達[たっ]した</b>。","気温は35度に<b>達した</b>。","The temperature reached 35 degrees."
"506","グループ","group","グループ","Noun","店[みせ]に 学生[がくせい]の<b>グループ</b>が 来[き]た。","店に学生の<b>グループ</b>が来た。","A group of students came to the shop."
"507","家","house, home","家[いえ]","Noun","ここが 私[わたし]の<b> 家[いえ]</b>です。","ここが私の<b>家</b>です。","This is my house."
"508","家内","my wife","家内[かない]","Noun","<b> 家内[かない]</b>は 九州出身[きゅうしゅう しゅっしん]です。","<b>家内</b>は九州出身です。","My wife is from Kyushu."
"509","客","visitor, customer","客[きゃく]","Noun","その 店[みせ]は 若[わか]い<b> 客[きゃく]</b>が 多[おお]いです。","その店は若い<b>客</b>が多いです。","That shop has a lot of young customers."
"510","空気","air, atmosphere","空気[くうき]","Noun","ここは<b> 空気[くうき]</b>がきれいです。","ここは<b>空気</b>がきれいです。","The air here is clean."
"511","ホテル","hotel","ホテル","Noun","今[いま]<b>ホテル</b>に 着[つ]きました。","今<b>ホテル</b>に着きました。","I arrived at the hotel just now."
"512","気に入る","like, be pleased with","気[き]に 入[い]る","Verb","新[あたら]しい 靴[くつ]がとても<b> 気[き]に 入[い]りました</b>。","新しい靴がとても<b>気に入りました</b>。","I really like my new shoes."
"513","人気","popularity","人気[にんき]","Noun","このバンドはとても<b> 人気[にんき]</b>があるよ。","このバンドはとても<b>人気</b>があるよ。","That band is very popular."
"514","雨","rain","雨[あめ]","Noun","<b> 雨[あめ]</b>が 降[ふ]っています。","<b>雨</b>が降っています。","It's raining."
"515","雪","snow, snowfall","雪[ゆき]","Noun","クリスマスに<b> 雪[ゆき]</b>が 降[ふ]りました。","クリスマスに<b>雪</b>が降りました。","It snowed at Christmas."
"516","まとめる","gather together, summarize","まとめる","Verb","彼女[かのじょ]は 荷物[にもつ]を<b>まとめて</b> 出[で]て 行[い]った。","彼女は荷物を<b>まとめて</b>出て行った。","She packed her luggage and left."
"517","青い","blue","青[あお]い","Adjective","ここの 海[うみ]はとても<b> 青[あお]い</b>。","ここの海はとても<b>青い</b>。","The sea here is very blue."
"518","青","blue, green, green light","青[あお]","Noun","私[わたし]の 好[す]きな 色[いろ]は<b> 青[あお]</b>です。","私の好きな色は<b>青</b>です。","My favorite color is blue."
"519","晴れ","fine weather, clear sky","晴[は]れ","Noun","明日[あす]の 天気[てんき]は<b> 晴[は]れ</b>です。","明日の天気は<b>晴れ</b>です。","Tomorrow's weather will be sunny."
"520","明らか","clear, obvious","明[あき]らか","Adjective","<b> 明[あき]らか</b>に 彼[かれ]が 悪[わる]い。","<b>明らか</b>に彼が悪い。","It's clearly his fault."
"521","やはり","as expected, also, still","やはり","Adverb","彼[かれ]は<b>やはり</b> 遅刻[ちこく]しました。","彼は<b>やはり</b>遅刻しました。","He was late, as expected."
"522","明るい","bright, cheerful","明[あか]るい","Adjective","彼女[かのじょ]は<b> 明[あか]るい</b> 性格[せいかく]です。","彼女は<b>明るい</b>性格です。","She has a cheerful personality."
"523","明日","tomorrow","明日[あした]","Noun","<b> 明日[あした]</b>、 会社[かいしゃ]を 休[やす]みます。","<b>明日</b>、会社を休みます。","I'm off work tomorrow."
"524","暗い","dark, dreary, shadowy","暗[くら]い","Adjective","東[ひがし]の 空[そら]が<b> 暗[くら]い</b>です。","東の空が<b>暗い</b>です。","The eastern sky is dark."
"525","昨年","last year (polite)","昨年[さくねん]","Noun","<b> 昨年[さくねん]</b>は 地震[じしん]が 多[おお]い 年[とし]でした。","<b>昨年</b>は地震が多い年でした。","Last year there were a lot of earthquakes."
"526","はっきり","clearly, distinctly","はっきり","Adverb","今日[きょう]は 山[やま]が<b>はっきり</b> 見[み]える。","今日は山が<b>はっきり</b>見える。","You can see the mountains clearly today."
"527","一昨年","the year before last","一昨年[おととし]","Noun","<b> 一昨年[おととし]</b> 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。","<b>一昨年</b>初めて京都へ旅行しました。","I first traveled to Kyoto the year before last."
"528","一昨日","day before yesterday","一昨日[おととい]","Noun","<b> 一昨日[おととい]</b> 彼[かれ]から 電話[でんわ]がありました。","<b>一昨日</b>彼から電話がありました。","There was a phone call from him the day before yesterday."
"529","東","east, eastern","東[ひがし]","Noun","<b> 東[ひがし]</b>の 空[そら]が 暗[くら]いです。","<b>東</b>の空が暗いです。","The eastern sky is dark."
"530","西","west, western","西[にし]","Noun","太陽[たいよう]は<b> 西[にし]</b>に 沈[しず]みます。","太陽は<b>西</b>に沈みます。","The sun sets in the west."
"531","つまり","in short, basically","つまり","Adverb","<b>つまり</b>、あなたは 何[なに]も 知[し]らないのですね。","<b>つまり</b>、あなたは何も知らないのですね。","So, basically, you don't know anything."
"532","南","south","南[みなみ]","Noun","私[わたし]の 家[いえ]は 町[まち]の<b> 南[みなみ]</b>にあります。","私の家は町の<b>南</b>にあります。","My house is in the south of the town."
"533","北","north","北[きた]","Noun","ロシアは 日本[にっぽん]の<b> 北[きた]</b>にあります。","ロシアは日本の<b>北</b>にあります。","Russia is north of Japan."
